student_id,program,device,exam_score_equal_var,exam_score_unequal_var,satisfaction_equal_var,satisfaction_unequal_var,hours_studied_norm,final_score_linear,time_on_platform_skew,engagement_monotonic,passed_exam,rare_complaint
1,video,desktop,73.32021011292645,68.68632611153437,3.614590286918755,3.5687080564965483,14.298512700017923,70.92116866938501,0.9188054082534195,0.5618346993641661,1,0
2,control,mobile,74.4063635149364,78.17751404734562,2.957624039042342,2.5270816595848578,7.972563112278182,39.80940489129034,0.5026401963898663,0.14756234986709033,1,0
3,control,desktop,68.4369958389221,85.82151548767854,2.8978492589302967,2.8350021139128176,11.593446740078367,57.64126571250586,1.7283061629474497,0.9855500625274237,0,0
4,video,mobile,67.01869208895286,100.71139408297907,4.219248106651476,2.6470570482509785,9.030690131722597,40.926039866483954,0.961294637743545,0.606416208177013,1,0
5,video_quiz,mobile,74.41032387186061,49.37761126637186,4.644489767054449,8.076113216982144,9.794511170650384,49.81470275869749,1.9276122720302156,0.6027996507776956,1,0
6,video,desktop,76.23929487786968,78.42378731926043,3.8394732287112268,3.78296829050239,8.070282292724162,37.13411796919762,0.7306094720999332,0.7332061933860667,0,0
7,video_quiz,desktop,81.9926384732816,79.05302268543464,3.333493637862228,5.7149018945790795,9.113839866120214,47.22935192840874,1.9417859190424267,1.0223458349597114,1,0
8,video,desktop,78.27484019940512,72.53693722305815,3.72055853970014,4.761968655817199,7.89822737198857,36.886941139297484,1.2633293299619786,0.5283096495149788,1,0
9,video,mobile,78.1747730844861,57.572799444601685,3.369461057435998,4.880915132464284,11.208555398698278,58.16312436011287,0.4262596648348859,-0.024843408538705924,1,0
10,video,mobile,62.856383683668,51.86697097325363,4.389436476478255,6.347869783635755,7.525695555364509,38.090633981390894,1.177775584026433,1.3480908617946261,1,0
11,video,desktop,71.93266951107374,72.33177732689981,2.518625551995984,3.7045881034636787,11.609673145469955,59.265144393880476,0.21792496640822318,0.07423078253569888,1,0
