household_id,region,heating_type,ownership,has_pet,stress_equal,stress_unequal,home_satisfaction_equal,home_satisfaction_unequal,indoor_temp,energy_kwh,sleep_hours,stress_for_corr,severe_allergy
1,urban,,owner,yes,51.794076754212234,,71.76985024426014,88.58849961651441,22.034121049998923,172.36729075237318,5.007086723995392,62.63986668328509,0
2,,gas,owner,,,36.91903498137002,76.71386641841256,87.71291555544755,19.563960493632877,164.0434129753075,8.186085569770754,54.635063191861896,0
3,urban,electric,renter,yes,43.65751742326799,60.66421339127689,,105.35852138047971,20.29005754886599,148.06992887943176,6.620211437695923,55.80245527776403,0
4,suburban,electric,owner,yes,,44.64783611658967,82.2183990322134,81.48261734093093,23.521326052084728,190.19536909153445,,52.387545499197195,0
5,suburban,,,,60.41497450850451,,69.54116887228014,101.83805965774657,20.312957032585242,145.59526804125753,5.833681516656315,61.36745678339932,0
6,suburban,other,owner,yes,36.217491525212324,,78.97995078327259,,20.478622798796483,172.06494046069585,6.789088566850518,54.69797420217986,0
7,,electric,owner,,46.66700713078804,43.53819082383694,59.95340339409087,,23.444667418142195,172.298172392764,7.491894913853083,49.8603057350593,0
8,suburban,electric,owner,,52.27958628930893,51.488327626604715,,86.70781783860045,21.081528241931576,151.01531291362917,7.888857130932248,50.89335239603466,0
9,,electric,renter,,58.220945277872865,,78.06101209776864,94.70315759164596,22.425433699924405,171.4141387809228,7.35945917482813,54.37543310461706,0
10,urban,gas,,,69.52816072007514,65.82448352992657,73.0275556199954,94.45150933312523,22.856374274596238,189.365549953249,5.62659322380165,62.26110432019663,0
11,urban,other,renter,yes,69.01748420920423,53.01985587594454,68.31891687111863,,22.210008223731997,182.4161336601223,6.283189967491344,54.44969432484471,0
12,,other,renter,yes,38.480429851430756,,69.57795431948881,,22.034279653125317,173.067475143276,7.267572853051113,51.60400421237081,0
13,rural,gas,renter,no,53.256490563553825,59.10905831329371,71.04713841828006,95.70648453119921,,150.80921594247914,7.402371107386006,54.30685202117866,0
14,urban,electric,renter,yes,47.947491964488485,,63.778899386950755,,20.35396695248054,140.55594558857808,9.461610823252904,47.26283332724391,0
15,rural,electric,owner,yes,52.74875888719072,,93.19788825459598,76.11937007425878,20.782193815952297,156.51628299208429,6.721627241822661,52.593498951477756,0
16,suburban,,owner,yes,46.11624808394481,,70.29341668577516,,22.8794013519861,174.236015429475,6.382225157826653,52.21274498420668,0
17,suburban,,owner,,50.77452114967238,,83.9107936540761,83.13967909574477,22.585422654347894,181.1583360932467,6.939386093665681,52.3538889986463,0
18,,electric,owner,yes,28.198675615579635,,69.13691524812197,83.66242475800665,19.568321575462612,139.26626379215242,6.757656711160762,55.549833025636815,0
19,suburban,gas,renter,,35.74232391877303,,89.2520816081279,91.51153191118068,22.4208639267386,179.9612263426953,8.681371274633415,47.62538318404576,0
20,suburban,,owner,,38.429795246287846,37.51240844251052,,,22.652946168409816,178.70878070836014,6.965400496132978,54.647409088334385,0
21,,,owner,,46.783595165883604,48.17482566432705,,82.40621653018621,22.337170998748128,175.2389446436482,,50.67610960912046,0
22,urban,electric,renter,no,59.13082858949598,67.80053083819044,65.2196995795344,,19.80065179318945,138.69541356964083,,48.593141499588235,0
23,urban,electric,owner,no,40.22424643858017,50.77705913435239,73.10338285587558,,22.310574667882243,180.52841547905783,6.426667308823107,55.27759112806451,0
24,rural,,renter,yes,56.21207991450038,,72.37600735900213,,23.34988125486111,187.46222591075352,7.033878679486854,56.07018451838718,0
25,suburban,gas,renter,yes,46.45570150664973,50.88061662447265,72.82075623830792,91.42328317783891,21.46245348322115,165.05868923103682,6.498166307214536,53.97289056162134,0
26,urban,gas,,yes,37.59536989321079,53.95422937350582,68.83085656704047,89.79078546666923,23.74454139266048,186.59374678306807,,55.983560236278514,0
27,urban,,owner,no,52.619911026735245,54.347090075745996,,82.14880910235,22.238560248184488,164.33803809099612,10.02935553356345,44.82481253889968,0
28,suburban,gas,renter,yes,47.68212545007543,42.48366791954332,70.16587717171979,95.19062717336203,21.994301007152423,160.59875641501728,,47.954549113428904,0
29,rural,electric,owner,yes,,39.22264884581489,64.07843636185606,88.50156988335247,,190.8449733644065,,52.11225225871007,0
30,urban,other,owner,yes,42.48047732100151,47.33816092946719,72.49905378028218,88.35390089243893,21.85299591694597,170.03635427391742,,52.35218675498111,0
31,suburban,,owner,yes,30.54264739310932,45.07191738982878,76.64047415462085,,20.949819866683885,151.83980753488004,7.139960590502335,55.090079371221904,0
32,urban,,renter,yes,47.97995925833284,,77.67599301499446,,21.761259162087942,163.04252910017618,,50.017063971002905,0
33,suburban,electric,owner,,52.330669865205145,,78.778572242342,81.6952424490184,21.575836625893125,176.1537794642622,7.643951903514899,52.43090405828554,0
34,urban,,,yes,60.99317677737396,,74.19851371097766,,21.845068465308536,165.4868710595699,8.033535541474473,51.01926144639914,0
35,rural,gas,owner,yes,52.989815969714876,44.08022813050315,83.44669592639897,,20.664455791271244,156.69349511111903,6.9549922403897035,53.6069764053886,0
36,urban,,owner,yes,42.795293757186855,51.519519393489986,73.49634926808935,97.39564202339203,,176.12572154327574,6.859346964565157,58.08723437725822,1
37,urban,gas,renter,,45.69774012651956,,70.06576420295922,,21.354676154960877,172.34849853370616,,52.454944484903976,0
38,,,renter,,54.154264628956994,34.68195746032683,,102.32502547536743,24.283693060550732,188.47859708051462,6.250180818281882,62.32559882467433,0
39,suburban,gas,renter,yes,49.72945052772755,51.609554532080466,,84.17489836417288,22.912270256411635,171.22739269847534,4.916367419379018,58.71802142378379,0
40,urban,electric,renter,yes,39.32868873997372,50.7873616312528,79.04718252342593,,22.808068684950168,184.14452797490856,8.348723959413286,54.18807211620444,0
41,urban,other,renter,yes,38.518050650286,,69.01496602810617,,21.00707468804202,164.99348819348648,7.74922026166387,54.515327750226476,0
42,,electric,owner,no,48.651314649988706,43.89577014034195,73.34492648185582,73.45347293382108,21.74919826775914,170.05521189948365,8.311456805518498,53.91883302070779,0
43,,electric,owner,yes,39.84377278460355,39.43497324727818,,,,161.79196508791284,6.771830914120624,62.15057791124953,0
44,suburban,,renter,,53.792015600650664,59.55192514318563,73.2773827701196,94.28082267254008,19.631481235529552,150.06341302324296,7.372796170489588,49.48134070212487,0
45,urban,gas,,,41.46241890896687,,81.09913681070806,94.09756251109867,22.06859805692746,173.26131275582568,8.03056459483084,53.12327467963432,0
46,suburban,electric,renter,no,39.98120927893692,62.48028430890566,61.821022512465426,82.01491698035024,21.828906660612223,176.3224666362798,6.634917188351371,63.029903493780864,0
47,,,owner,no,53.16386876635574,53.105278280644136,71.87897040950664,,20.644010485263983,151.08225375802343,6.116601334138986,56.877784032472036,0
48,suburban,gas,owner,yes,46.92417520114762,,75.00168185417975,,21.22777209163829,161.6611948556377,7.036837070392631,61.59499765550565,0
49,urban,electric,owner,,45.85658252960508,51.061422577803285,73.99303525946084,88.5380754569444,21.157592787207072,163.52313475326505,,46.44163032272195,0
50,,gas,renter,no,42.50260442556061,,83.64868005519043,,20.064589330786465,158.4660402057346,7.0669284152859415,56.480288028643734,0
51,,gas,renter,yes,41.39403203410794,38.90845409907785,83.37298540643008,93.94550801520859,21.238504035867106,158.05849288587558,8.70023991043502,49.69951473100875,0
52,suburban,,,yes,35.39447915195196,32.87168765216844,63.0218233100928,,21.981468459211776,166.80016672727712,,60.16936260249186,0
53,suburban,electric,owner,yes,40.939835413259864,50.905563515716345,,95.05448475235363,21.1219503828468,158.14942735442523,,60.839173631425716,0
54,urban,gas,owner,,24.200426406366905,43.61217678655245,66.34470323444441,89.87964969478418,,169.07887853913914,6.283317227570062,56.919674648640104,0
55,suburban,electric,owner,,52.653142543804606,52.50882534860398,84.03655759565756,76.87166544808186,19.779278680629155,141.0941538529933,,48.784306059792534,0
