employee_id,office,department,productivity_equal,productivity_unequal,engagement_equal,engagement_unequal,desk_temp,energy_usage,steps_per_day,resting_hr,critical_incident
1,remote,sales,85.65160593153011,90.88356652577963,75.73017063377968,65.1737906441955,21.841198495453106,168.6374850496178,6530.661052638859,69.45646787403639,0
2,onsite,sales,73.43217643775795,81.5799308006047,57.354877643952335,70.35135567769589,21.573849179559623,169.24712800931698,11080.264220433532,62.54166017936159,0
3,remote,sales,82.55189457513691,94.24413931379698,69.76660528525689,72.06046406697217,21.69249564000246,178.0439208257831,7338.084227757344,68.20161877583959,0
4,remote,support,72.28683037755316,82.39203052205569,74.22960439494275,75.93404438668318,23.39998420897269,189.67233257102268,6552.358295666749,70.04675888896398,0
5,remote,sales,73.99673400044529,78.78631008540737,61.27870004172094,67.12376715472786,22.667282140474402,183.46042449092204,10044.664124614568,66.58702873404664,0
6,onsite,sales,66.9121088814102,78.20234907520776,71.28932552574392,69.00440323312867,21.93428840835342,176.8671138051131,9475.512434537952,70.97349012991353,0
7,onsite,engineering,65.90151900548626,75.67544410527155,80.81344424007597,81.20388008594855,21.316948671762418,178.57692663609336,7454.323876782688,72.18465108539102,0
8,remote,sales,80.57874474461717,97.95995586087004,53.23311538709099,68.48223417710012,22.113799892253216,177.2991406339978,9201.660265484064,66.48022598904049,0
9,remote,sales,84.78094386725098,93.10685599572992,80.58610293045416,67.71907012250144,22.69986837530322,186.36845534055345,9552.46110266996,66.34668010604751,0
10,onsite,support,79.53553931992471,67.38026005726307,74.42592535062182,65.40685164268686,22.854473683029376,186.68991890266,6671.445669704538,63.59928091531823,0
11,onsite,engineering,75.18611827208572,78.38954020709835,77.03205117079881,80.16345119183948,22.409764862397825,180.15589609642092,5936.281428131199,76.01178443019154,0
12,onsite,support,80.09205068591113,81.56462370374173,,,20.668668431818666,179.61169608027123,7834.88505456626,74.60043498123778,0
13,onsite,engineering,68.12492514470088,65.31895746017423,75.80578800618687,80.93699976076913,22.522876594202963,179.71885012757798,8925.030614659308,67.20779516500687,0
14,onsite,engineering,81.467381459658,79.35823776545804,81.91549426822682,72.60944059246224,23.26473151640775,183.89796969420289,7570.441139699374,69.18726228368921,0
15,remote,support,68.37220023597072,63.212280857408196,87.0575526303485,80.16101382129862,23.558171568214128,198.26512346383575,10074.841675746566,59.1603615150564,0
16,onsite,sales,75.33245509948098,74.26592025311051,67.13155141757136,66.49586248816284,23.119988441058247,195.52584519610295,7400.905413106675,67.76768641106474,0
17,onsite,engineering,66.96616817812665,80.15523434890338,,88.53222421109601,22.242957761622396,193.66971920050443,9484.838121158235,63.24076231505653,0
18,onsite,engineering,70.57232870200359,79.81945810567414,,65.61816453359587,21.879571414509538,179.62341993011853,7842.960242312377,65.74560809994772,0
19,onsite,sales,89.51220964316218,69.12339298267887,83.42857776923763,71.20941109150849,21.96964975928122,182.9314118877419,6716.9488704749365,68.54052103377677,0
20,onsite,engineering,78.46789268867546,81.99651654863735,83.34483743236595,66.317528004565,23.941377455028217,189.94305529567418,9858.44486447523,64.97626134356783,0
21,onsite,engineering,83.31520770499168,71.29973614436055,62.40291073489152,59.19505231600657,21.2641141991877,182.61818102848963,10085.798692175485,68.01867021896265,0
22,onsite,engineering,74.34944444853049,78.19644334952831,69.47083869780019,75.06066782280921,21.573093141260728,180.16803618760298,8026.130759731085,70.32450058468176,0
